timestamp,open,high,low,close,volume
2024-07-26,656.0,680.0,628.0,640.0,571.0
2024-07-29,612.0,676.0,604.0,640.0,1175.0
2024-07-30,648.0,648.0,612.0,616.0,432.0
2024-07-31,620.0,636.0,596.0,628.0,705.0
2024-08-01,624.0,624.0,592.0,596.0,543.0
2024-08-02,592.0,612.0,572.0,584.0,513.0
2024-08-05,556.0,564.0,516.0,548.0,1332.0
2024-08-06,548.0,560.0,528.0,544.0,662.0
2024-08-07,552.0,564.0,520.0,524.0,808.0
2024-08-08,524.0,564.0,520.0,560.0,951.0
2024-08-09,556.0,584.0,544.0,584.0,479.0
2024-08-12,572.0,632.0,540.0,556.0,979.0
2024-08-13,552.0,568.0,520.0,568.0,879.0
2024-08-14,556.0,556.0,540.0,544.0,267.0
2024-08-15,544.0,568.0,536.0,560.0,337.0
2024-08-16,560.0,580.0,552.0,572.0,322.0
2024-08-19,572.0,584.0,560.0,564.0,225.0
2024-08-20,568.0,576.0,548.0,556.0,283.0
2024-08-21,548.0,568.0,528.0,548.0,468.0
2024-08-22,544.0,568.0,524.0,528.0,309.0
2024-08-23,528.0,560.0,524.0,544.0,465.0
2024-08-26,548.0,568.0,540.0,564.0,286.0
2024-08-27,556.0,576.0,544.0,556.0,208.0
2024-08-28,556.0,556.0,524.0,532.0,316.0
2024-08-29,536.0,544.0,528.0,528.0,322.0
2024-08-30,532.0,548.0,500.0,512.0,809.0
2024-09-03,508.0,520.0,492.0,500.0,529.0
2024-09-04,492.0,504.0,480.0,480.0,487.0
2024-09-05,472.0,536.0,472.0,508.0,899.0
2024-09-06,504.0,524.0,504.0,508.0,103.0
2024-09-09,508.0,516.0,484.0,488.0,272.0
2024-09-10,488.0,504.0,472.0,492.0,267.0
2024-09-11,492.0,508.0,480.0,484.0,338.0
2024-09-12,488.0,492.0,476.0,484.0,245.0
2024-09-13,476.0,504.0,476.0,496.0,231.0
2024-09-16,492.0,508.0,488.0,496.0,123.0
2024-09-17,496.0,540.0,496.0,532.0,556.0
2024-09-18,548.0,556.0,512.0,528.0,560.0
2024-09-19,516.0,516.0,464.0,464.0,1167.0
2024-09-20,464.0,468.0,416.0,416.0,789.0
2024-09-23,440.0,440.0,424.0,432.0,227.0
