asset_id,symbol,asset_class,sector,industry,country,market_cap,source,status
crypto:avalanche-2,AVAX,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:binancecoin,BNB,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:bitcoin,BTC,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:bitcoin-cash,BCH,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:cardano,ADA,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:chainlink,LINK,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:crypto-com-chain,CRO,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:dai,DAI,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:dogecoin,DOGE,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:ethena-usde,USDE,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:ethereum,ETH,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:global-dollar,USDG,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:hedera-hashgraph,HBAR,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:htx-dao,HTX,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:hyperliquid,HYPE,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:leo-token,LEO,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:litecoin,LTC,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:memecore,M,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:monero,XMR,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:near,NEAR,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:okb,OKB,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:ondo-finance,ONDO,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:pax-gold,PAXG,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:paypal-usd,PYUSD,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:ripple,XRP,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:ripple-usd,RLUSD,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:shiba-inu,SHIB,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:solana,SOL,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:stellar,XLM,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:tether,USDT,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:tether-gold,XAUT,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:the-open-network,GRAM,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:tron,TRX,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:uniswap,UNI,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:usd-coin,USDC,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:usd1-wlfi,USD1,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:usdd,USDD,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:whitebit,WBT,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
crypto:zcash,ZEC,crypto,Digital Assets,Cryptocurrency,Global,,atlas_taxonomy,complete
stock:A,A,stock,Healthcare,Diagnostics & Research,United States,39136595968.0,yfinance,complete
stock:AA,AA,stock,Basic Materials,Aluminum,United States,11674582016.0,yfinance,complete
stock:AACB,AACB,stock,Financial Services,Shell Companies,United States,290864256.0,yfinance,complete
stock:AACI,AACI,stock,Financial Services,Shell Companies,United States,339617696.0,yfinance,complete
stock:AACO,AACO,stock,Financial Services,Shell Companies,United States,311107744.0,yfinance,complete
stock:AACP,AACP,stock,Financial Services,Shell Companies,United States,291907808.0,yfinance,complete
stock:AADX,AADX,stock,Industrials,Aerospace & Defense,United States,,yfinance,partial
stock:AAL,AAL,stock,Industrials,Airlines,United States,9582014464.0,yfinance,complete
stock:AAME,AAME,stock,Financial Services,Insurance - Life,United States,32023650.0,yfinance,complete
stock:AAMI,AAMI,stock,Financial Services,Asset Management,United States,2881672448.0,yfinance,complete
stock:AAOI,AAOI,stock,Technology,Communication Equipment,United States,8036313088.0,yfinance,complete
stock:AAON,AAON,stock,Industrials,Building Products & Equipment,United States,8409875456.0,yfinance,complete
stock:AAP,AAP,stock,Consumer Cyclical,Auto Parts,United States,3366369792.0,yfinance,complete
stock:AAPG,AAPG,stock,Healthcare,Biotechnology,China,1707137792.0,yfinance,complete
stock:AAPL,AAPL,stock,Technology,Consumer Electronics,United States,4891182891008.0,yfinance,complete
stock:AARD,AARD,stock,Healthcare,Biotechnology,United States,138307888.0,yfinance,complete
stock:AAT,AAT,stock,Real Estate,REIT - Diversified,United States,1885011072.0,yfinance,complete
stock:AAUC,AAUC,stock,Basic Materials,Gold,Canada,2639789312.0,yfinance,complete
